"Category";"ProductId";"Title";"BadgeRaw";"BadgeCount";"CampaignsRaw";"CampaignCount"
"flores";"AKT-RG107";"Ramo de rosas semipremium con follaje x9 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"4BefejQv6";"Ramo de rosas premium  x9 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"RG-131";"Ramo de rosas pasteles  x18 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"AKT-RG181";"Ramo de peonías x18 tallos";"Más vendido";"1";"";"0"
"flores";"AKT-RG180";"Ramo de rosas semipremium  x9 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"AKT-RG600";"Ramo de tulipanes  x9 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas";"2"
"flores";"AKT-RG702";"Ramo de hortensias grandes x1 vara";"Más vendido";"1";"";"0"
"flores";"AKT-RS102";"Ramo de rosa china con margaritas x5 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas";"2"
"flores";"AKT-RG300";"Ramo de dalias  x7 tallos";"Más vendido";"1";"";"0"
"flores";"AKT-RS304";"Ramo de crisantemos  x5 tallos";"Más vendido";"1";"Flores Amarillas";"1"
"flores";"AKT-RS806";"Ramo de dalias pequeñas x5 tallos";"Más vendido";"1";"";"0"
"flores";"RS4037017";"Ramo de girasol con mini margaritas x7 tallos";"Más vendido";"1";"Flores Amarillas";"1"
"flores";"AKT-RS209";"Ramo de peonías pequeñas  x5 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"AKT-RS150";"Ramo de mini rosas con margarita otoñal  x5 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"AKT-RS106";"Ramo de mini hortensias otoñales  x5 tallos";"Más vendido";"1";"Día de la Novia";"1"
"flores";"AKT-RS124";"Ramo de mini rosas  x5 tallos";"Más vendido";"1";"";"0"
"flores";"AKT-RS800";"Ramo de margaritas otoñales  x7 tallos";"Más vendido";"1";"Día de la Novia|Día del Novio";"2"
"flores";"AKT-RS007";"Ramo de eucalipto  x16 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas|Día del Novio";"3"
"flores";"AKT-RS901";"Ramo de gipsófila x5 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas|Día del Novio";"3"
"flores";"4653-2525";"Ramo de helecho  x5 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas|Día del Novio";"3"
"flores";"AKT-RS001";"Ramo de llamaplata  x7 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas|Día del Novio";"3"
"flores";"AKT-RS206";"Ramo de peonías con margaritas  x5 tallos";"Más vendido";"1";"";"0"
"flores";"thjkdsft7017";"Ramo de girasol premium  x9 cabezas";"Más vendido";"1";"Flores Amarillas";"1"
"flores";"AKT-RG401";"Ramo de girasol premium  x5 tallos";"Más vendido";"1";"Flores Amarillas";"1"
"flores";"70FF25";"Flores de foamy  x25 unidades";"Más vendido";"1";"Flores Amarillas|Día de la Novia|Día del Novio";"3"
"flores";"FP9010OTR";"Flores de foamy x50 unidades";"Más vendido";"1";"Flores Amarillas|Día de la Novia";"2"
"flores";"8613-2789";"Ramo de Lirios Grande  x7 tallos";"Más vendido";"1";"Flores Amarillas|Día de la Novia";"2"
"flores";"GSO-R1316";"Ramo de azucena  x7 tallos";"Más vendido";"1";"Día de la Novia|Flores Amarillas";"2"
"flores";"7017-C001";"Tulipan siliconado  x12u.";"Más vendido";"1";"Día de la Novia";"1"
"flores";"QFwsyCBdk";"Ramo de crisantemos con gerberas  x5 tallos";"Más vendido";"1";"Día del Novio";"1"
"flores";"RRGMN01";"Ramo de rosas grandes con margaritas nieve x12 tallos ";"Más vendido";"1";"";"0"
"flores";"RRA11T01";"Ramo de rosas abiertas  x11 tallos";"Más vendido";"1";"";"0"
