"id","title","description","availability","condition","price","link","image_link","brand","google_product_category"
"CT-554","Ramo Minirosas Premium Otoñal x6 tallos","Ramo de minirosas premium en tonos otoñales ideal para arreglos florales, decoración de eventos, regalos, florerías y proyectos creativos. Excelente presentación y acabado natural.8 colores rosa bb, blanco, rojo, celeste, fucsia, azul, rosa chicle, anaranjado","in stock","new","5.50 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CT-554","https://dl.dropboxusercontent.com/scl/fi/nkfziuqsqj2bogeackj0r/CT-554C.jpg?rlkey=vlnk6ti708yup0j2qnphcppj7&st=vakoomen&raw=1","Wooly Imports","Home & Garden > Decor"
"CT-553","Ramo Minirosas Premium follaje x6 tallos","Hermoso ramo de minirosas premium con follaje decorativo, ideal para bouquets, arreglos florales, decoración de interiores, regalos especiales y emprendimientos de florería.8 colores rosa, azul, lila, celeste degradado, amarillo, melon, rojo","in stock","new","5.50 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CT-553","https://dl.dropboxusercontent.com/scl/fi/829t8f2pt61w776uqf6vk/CT-553C.jpg?rlkey=ake314rr7miyx3tntl4rrr8cj&st=arabtju0&raw=1","Wooly Imports","Home & Garden > Decor"
"thjkdsft7017","Ramo de girasol premium x9 cabezas","flores amarillas, decoración alegre, girasol decorativo","in stock","new","18.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=thjkdsft7017","https://dl.dropboxusercontent.com/scl/fi/fvrfgqyuvpg7zwmdj3t8t/thjkdsft7017.jpg?rlkey=ag9e2hbrb1t3bmrhujjghbz8o&st=au3w1z8l&raw=1","Wooly Imports","Home & Garden > Decor"
"CT-606","Ramo pequeño de Eucalipto x5 tallos","Ramo de eucalipto decorativo ideal para complementar arreglos florales, centros de mesa, decoración del hogar, eventos, manualidades y proyectos creativos con estilo natural.2 colores verde claro y oscuro","in stock","new","5.50 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CT-606","https://dl.dropboxusercontent.com/scl/fi/i0xyfqyadijztuzk4kkwb/CT-606.jpg?rlkey=flwto4nmsyva6j180ih587tou&st=x6l0j16m&raw=1","Wooly Imports","Home & Garden > Decor"
"CA2208SET4","Caja envío Foldcote color entero 30*25*10cm","caja para envio,empaque para regalo,box para despacho","in stock","new","4.50 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CA2208SET4","https://dl.dropboxusercontent.com/scl/fi/m1b60l9kw0cp2av8bkclm/CA2208SET4.jpg?rlkey=3ogib4elbfko3xl33xl8rjugy&st=2pctgxwp&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"RS4037017","Ramo de girasol con mini margaritas x7 tallos","delicado, elegante, moderno, flores decorativas, regalo femenino","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=RS4037017","https://dl.dropboxusercontent.com/scl/fi/rcqcpby31i8j0gc39r32v/RS4037017.jpg?rlkey=8atfyk0o1inido0h63smoxxx4&st=fqdaauyi&raw=1","Wooly Imports","Home & Garden > Decor"
"PHKYG20","Peluche hello Kitty con Girasol 20cm","Pelcueh hello kitty con girasol y vestido lila, rosa y fucsia","in stock","new","20.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=PHKYG20","https://dl.dropboxusercontent.com/scl/fi/f1zjpwfs84c7rxfvaak0u/PHKYG20.jpg?rlkey=cpbx08k5i5yvk55l839hwlbte&st=05caw8oq&raw=1","Wooly Imports","Toys & Games > Toys > Dolls, Playsets & Toy Figures"
"R62P3jM3R1","Caja circular con diseño 15*15cm","caja para regalo,box redondo flores,detalle para amor,sorpresa elegante","in stock","new","10.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=R62P3jM3R1","https://dl.dropboxusercontent.com/scl/fi/uohn84pmhelqw6vmkn46q/R62P3jM3R.jpg?rlkey=jcmdw54b11odjj0cx9wd63atx&st=xzkehywm&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CA2183SET","Caja diseño escamas corazón 25cm","caja corazon regalo,detalle romantico amor,box para flores","in stock","new","29.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CA2183SET","https://dl.dropboxusercontent.com/scl/fi/ritebcz72dsg1z7k53pbk/R62P3jM3R2.jpg?rlkey=vlg38j83fn0jx5d9ogha3ovpc&st=s8wr6wwz&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CA2193SET","Caja diseño escamas corazón 22cm","caja para amor,corazon para regalo,detalle flores amor","in stock","new","20.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CA2193SET","https://dl.dropboxusercontent.com/scl/fi/8i7pnmuivas7mx9rx9164/CA2208SET1.jpg?rlkey=x9igq271vm3p8jyy7olg2pugy&st=qx5p1ks6&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CA2208SET","Caja corazón Love 22cm","caja para amor,regalo romantico pareja,box para flores","in stock","new","18.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CA2208SET","https://dl.dropboxusercontent.com/scl/fi/igbdoldlr3nm20mhnvsg3/CA2208SET2.jpg?rlkey=s3moa3346uw36f050ahpf7309&st=lpxavdac&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"BO1086PAP","Bolsa regalo vitrina corazón 18*25*13cm","bolsa para regalo,detalle para flores,amor para sorpresa","in stock","new","4.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=BO1086PAP","https://dl.dropboxusercontent.com/scl/fi/jaenaxc94zgidwc6c7frf/BO1086PAP.jpg?rlkey=y6i1zwdkwk3jkijj89es97eqp&st=ltikb9bk&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"jQV5XClJE3","Caja envío Foldcote ""Te Amo"" 30*25*10cm","caja para amor,detalle romantico regalo,box sorpresa pareja","in stock","new","10.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=jQV5XClJE3","https://dl.dropboxusercontent.com/scl/fi/u4nyid251gbhm6dl8hwnl/CA2208SET5.jpg?rlkey=68222xmya6j8w247sceovc9k5&st=jgqg37hk&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CAR-07","Cartera cubo Specially rosa 10cm","cartera para regalo,detalle elegante amor,sorpresa femenina","in stock","new","3.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CAR-07","https://dl.dropboxusercontent.com/scl/fi/suptyymewefhuscpam6su/CAR-07.jpg?rlkey=pkk1cbepbbcsuxef87lppsx73&st=bfr83asg&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CJB352","Caja baúl ramo 40*34*12cm","caja para flores,ramo para regalo,detalle floral","in stock","new","15.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CJB352","https://dl.dropboxusercontent.com/scl/fi/xqwe2vf3veoa6vds0p19i/CJB352.jpg?rlkey=k8c1h5azanqsyv5uqgeh44e4x&st=mm2pu0jf&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"BGRV","Bolsa regalo vitrina 34.5*24*14cm","bolsa para regalo,detalle elegante flores,empaque sorpresa","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=BGRV","https://dl.dropboxusercontent.com/scl/fi/rdegcb1cga766r35qq8l9/BGRV.jpg?rlkey=snpkmqjoiytayu6d7jkl8b0e5&st=40fkjq54&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"ACETATOG002","Caja acetato tapa grande 39*20*20cm","caja transparente flores,detalle premium regalo,box elegante","in stock","new","10.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=ACETATOG002","https://dl.dropboxusercontent.com/scl/fi/2ljo1kekjxh28nq6xr127/ACETATOG002.jpg?rlkey=3k77srptwwtx32ya5wx3dv6ea&st=z2r9olar&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"CJ204","Caja Box HotWheels c/n frase 28*8*24cm","caja de hotwheels con una frase dedicatoria ""especialmente para ti""","in stock","new","5.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=CJ204","https://dl.dropboxusercontent.com/scl/fi/fra5g9kfgl8996j7zprx6/CJ204.jpg?rlkey=382bisft2687pomwdkyg9w7qt&st=2am6r2ng&raw=1","Wooly Imports","Arts & Entertainment > Gift Giving"
"HWC001","Caja Hot Wheels Classic 72U Modelos 2025","Descubre los modelos más recientes de Hot Wheels 2025, con diseños exclusivos, deportivos, clásicos y coleccionables para niños, aficionados y revendedores.","in stock","new","540.00 PEN","https://www.woolyimports.com/catalogo/producto.html?id=HWC001","https://dl.dropboxusercontent.com/scl/fi/2pmxd9iar9fdpzd2pb610/HWC001.jpg?rlkey=h3eb8ggp3ggaf5h2z1xry4k23&st=xews4c1s&raw=1","Wooly Imports","Toys & Games > Toys > Toy Vehicles"
